"Klucz ma inny format niż fxp_live_… Skopiuj go z ekranu Integracje w panelu.","The key does not look like fxp_live_… Copy it from the Integrations screen in the panel."
"Znacznik połączenia wygasł albo się nie zgadza. Kliknij „Połącz przez Calmfox Watch"" jeszcze raz.","The connection marker expired or does not match. Click ""Connect via Calmfox Watch"" again."
"Klucz z panelu ma nieoczekiwany format, spróbuj połączyć jeszcze raz.","The key returned by the panel has an unexpected format, try connecting again."
"Podaj poprawny adres e-mail.","Enter a valid e-mail address."
"Do aktywacji potrzebna jest zgoda na przekazanie adresu e-mail i domeny do Calmfox.","Activation requires consent to send the e-mail address and the domain to Calmfox."
"Klucz zabezpieczający wymieniony. Monitoring korzysta już z nowego adresu.","Security key replaced. Monitoring already uses the new address."
"Klucz wymieniono w sklepie, ale nie udało się zaktualizować go w panelu: %1 Poprzedni klucz działa jeszcze 15 minut, spróbuj ponownie przyciskiem „Połącz ponownie"".","The key was replaced in the store but could not be updated in the panel: %1 The previous key stays valid for 15 minutes, try again with ""Connect again""."
"Monitoring wstrzymany w sklepie, ale panel nie potwierdził rozłączenia: %1","Monitoring paused in the store, but the panel did not confirm the disconnection: %1"
"Panel administracyjny stoi pod innym adresem niż sklep, więc bezpieczny powrót z Calmfox Watch nie jest możliwy. Połącz kluczem instalacyjnym z ekranu Integracje.","The admin panel runs on a different address than the store, so a safe return from Calmfox Watch is not possible. Connect with the installation key from the Integrations screen."
"Nieprawidłowy znacznik formularza. Odśwież ekran i spróbuj ponownie.","Invalid form key. Refresh the screen and try again."
"Podaj limit w gigabajtach, liczbę z zakresu od 0 do 100000 (0 znaczy „nie znam limitu"").","Enter the limit in gigabytes, a number between 0 and 100000 (0 means ""I do not know the limit"")."
"Zapisane. Pilnujemy zajętości względem %1 GB.","Saved. We watch usage against %1 GB."
"Wyczyszczone. Wracamy do informowania, że limit konta nie jest znany.","Cleared. We go back to saying that the hosting limit is unknown."
"Sprawdzenia zostaną policzone od nowa.","The checks will be recalculated."
"OK","OK"
"uwaga","warning"
"awaria","failure"
"platforma","platform"
"pakiet","package"
"motyw","theme"
"wersja %1","version %1"
"Sprawdzenie wykonane z serwera nie dociera do adresu kontrolnego (%1). Jeżeli połączenie się nie powiedzie, sprawdź reguły serwera WWW i zaporę sieciową dla ścieżki /calmfox-watch/.","A request made from the server does not reach the health address (%1). If connecting fails, check the web server rules and the firewall for the /calmfox-watch/ path."
"Monitoring wnętrza sklepu: dostępność usług (baza danych, poczta, dysk, kolejki, indeksy, wyszukiwarka), warunki złożenia zamówienia, podstawowe zasady bezpieczeństwa i historia zmian wersji. Wyniki znajdziesz w panelu Calmfox Watch.","Monitoring from inside the store: service availability (database, mail, disk, queues, indexers, search engine), the conditions required to place an order, basic security hygiene and the history of version changes. Results are shown in the Calmfox Watch panel."
"Połącz przez watch.calmfox.net","Connect via watch.calmfox.net"
"Najkrótsza droga: zalogujesz się albo założysz konto w panelu, wybierzesz organizację, a my wrócimy tutaj i połączymy sklep sami.","The shortest path: sign in or create an account in the panel, choose an organisation, and we come back here and connect the store on our own."
"Połącz przez Calmfox Watch","Connect via Calmfox Watch"
"Nie mam konta, załóż pakiet Free","I have no account, start the Free plan"
"Konto zakładamy od razu: monitoring dostępności sklepu, certyfikatu SSL i stanu usług. Bez hasła, logowanie linkiem wysyłanym na adres e-mail.","The account is created right away: store availability, SSL certificate and service status monitoring. No password, sign-in by a link sent over e-mail."
"Adres e-mail właściciela","Owner e-mail address"
"Zgadzam się na przekazanie adresu e-mail i domeny sklepu do Calmfox w celu założenia konta monitoringu.","I agree to send my e-mail address and the store domain to Calmfox in order to create a monitoring account."
"Aktywuj pakiet Free","Activate the Free plan"
"Mam już konto, połącz kluczem","I already have an account, connect with a key"
"Klucz instalacyjny znajdziesz na ekranie Integracje w panelu Calmfox Watch, przy stronie tego sklepu.","The installation key is on the Integrations screen in the Calmfox Watch panel, next to this store."
"Klucz instalacyjny","Installation key"
"Połącz kluczem","Connect with a key"
"Połączono z Calmfox Watch","Connected to Calmfox Watch"
"Sklep %1, pakiet %2.","Store %1, plan %2."
"Ostatnie odpytanie monitoringu: %1.","Last monitoring request: %1."
"Monitoring jeszcze nie odpytał adresu kontrolnego, pierwsze sprawdzenie w ciągu kilku minut.","Monitoring has not queried the health address yet, the first check happens within a few minutes."
"Otwórz ten sklep w panelu","Open this store in the panel"
"Przelicz teraz","Recalculate now"
"Wymień klucz","Replace the key"
"Rozłącz","Disconnect"
"Adres kontrolny","Health address"
"Ten adres odpytuje monitoring. Klucz w adresie jest jedynym zabezpieczeniem, więc nie publikuj go i nie wklejaj do zgłoszeń.","This is the address monitoring queries. The key in it is the only protection, so do not publish it and do not paste it into support tickets."
"Stan usług","Service status"
"Bezpieczeństwo","Security"
"Brak sprawdzeń do pokazania.","No checks to show."
"Limit dysku na koncie hostingowym (GB)","Hosting account disk limit (GB)"
"Zapisz limit","Save the limit"
"Znajdziesz go w panelu hostingu albo w umowie. Zostaw puste, jeżeli nie wiesz: wtedy pokazujemy tylko rozmiar sklepu, bez zgadywania.","You will find it in the hosting panel or in the contract. Leave it empty if you do not know: we then show only the store size, without guessing."
"Historia zmian wersji","Version change history"
"Zbierana od instalacji modułu przez porównywanie spisu pakietów. Znacznik czasu to moment wykrycia zmiany, nie moment wdrożenia.","Collected since the module was installed by comparing the package list. The timestamp is the moment the change was detected, not the moment it was deployed."
"Brak wpisów. Pierwszy pojawi się po najbliższym wdrożeniu.","No entries yet. The first one appears after the next deployment."
"Calmfox Watch: kondycja sklepu","Calmfox Watch: store health"
"Monitoring wnętrza sklepu nie jest jeszcze połączony z panelem. Sprawdzenia działają lokalnie, ale nikt o nich nie wie poza tym ekranem.","Store monitoring is not connected to the panel yet. The checks run locally, but nobody outside this screen knows about them."
"Sprawdzenia: %1 w porządku, %2 z ostrzeżeniem, %3 z awarią.","Checks: %1 fine, %2 with a warning, %3 failing."
"Nic nie wymaga uwagi.","Nothing needs attention."
"Dalszych spraw do przejrzenia: %1.","Further items to review: %1."
"Otwórz Calmfox Watch","Open Calmfox Watch"
"Parametry monitoringu w tym sklepie:","Monitoring parameters for this store:"
"Sklep jest w pakiecie Free: sprawdzenia strony głównej i kontrola certyfikatu. Wyższy próg dokłada częstsze sondy, przegląd podstron i powiadomienia bez limitu.","The store is on the Free plan: home page checks and certificate monitoring. A higher tier adds more frequent probes, page review and alerts without a cap."
"Zobacz pakiety","See the plans"
"Pakiet Free, co dokłada wyższy próg","The Free plan, and what a higher tier adds"
"Na Free pilnujemy dostępności sklepu, certyfikatu i stanu usług. Wyższe pakiety dokładają to, czego Free nie obejmuje:","On Free we watch store availability, the certificate and the state of services. Higher plans add what Free does not cover:"
"sondy co 30 do 60 sekund zamiast co 5 minut, awarię widać od razu, nie po kwadransie","probes every 30 to 60 seconds instead of every 5 minutes, so an outage shows up at once, not a quarter of an hour later"
"przegląd podstron: urwane treści, błędy 404 i zepsute odnośniki, zanim zauważy je klient","page review: truncated content, 404s and broken links, before a customer notices them"
"monitoring wybranych podstron i ścieżki zakupowej, nie tylko strony głównej","monitoring of chosen pages and of the checkout path, not only the home page"
"powiadomienia SMS-em, w komunikatorze i w aplikacji, bez miesięcznego limitu","alerts by SMS, messenger and mobile app, with no monthly cap"
"raporty okresowe i dłuższa historia zdarzeń","periodic reports and a longer event history"
"Zobacz pakiety dla tego sklepu","See the plans for this store"
"Pakiet kupujesz w panelu, kartą, osobno dla każdej strony. Sklep może iść wyżej, a strona wizytówka zostać na Free.","You buy the plan in the panel, by card, separately for each site. The store can move up while a brochure site stays on Free."
"Pakiet i płatności","Plan and payments"
"Ten sklep jest w pakiecie %1 (stan z chwili połączenia, bieżący pakiet i płatności zobaczysz w panelu).","This store is on the %1 plan (as known when it was connected, the current plan and payments are in the panel)."
"Zarządzaj pakietem i płatnościami","Manage plan and payments"
